STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_LIZENZ;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_LIZENZ;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_LIZENZ;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_LIZENZ;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
1;Chri;Christensen;Michael;INTB05635;Estre;Kevin;INT-B171715;Makowiecki;Frédéric;INT A 53130;Vanthoor;Laurens;INT-B903410;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);1;14:40:37.794;14:40:37.794;8:17.591;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;497,591;            ;4
1;Chri;Christensen;Michael;INTB05635;Estre;Kevin;INT-B171715;Makowiecki;Frédéric;INT A 53130;Vanthoor;Laurens;INT-B903410;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);2;14:48:57.408;14:48:57.408;8:19.614;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;499,614;            ;4
1;Chri;Christensen;Michael;INTB05635;Estre;Kevin;INT-B171715;Makowiecki;Frédéric;INT A 53130;Vanthoor;Laurens;INT-B903410;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);3;15:09:15.377;15:09:15.377;20:17.969;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;1217,969;            ;1
1;Chri;Christensen;Michael;INTB05635;Estre;Kevin;INT-B171715;Makowiecki;Frédéric;INT A 53130;Vanthoor;Laurens;INT-B903410;GBR ;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);4;15:17:57.263;15:17:57.263;8:41.886;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;521,886;            ;1
3;Chri;Christodoulou;Adam;ITB 100838;Götz;Maximilian;ITB1045239;Schiller;Fabian;ITC-C1127224;;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;14:40:09.470;14:40:09.470;8:19.049;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;499,049;            ;2
3;Chri;Christodoulou;Adam;ITB 100838;Götz;Maximilian;ITB1045239;Schiller;Fabian;ITC-C1127224;;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;14:54:04.910;14:54:04.910;8:27.547;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;507,547;            ;2
3;Chri;Christodoulou;Adam;ITB 100838;Götz;Maximilian;ITB1045239;Schiller;Fabian;ITC-C1127224;;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;15:07:29.847;15:07:29.847;13:24.937;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;804,937;            ;1
4;Enge;Engel;Maro;ITB1048870;Gounon;Jules;ICCB219548;Juncadella;Daniel;ITA-0023-ESP;;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;14:20:38.937;14:20:38.937;8:44.069;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;524,069;            ;1
4;Enge;Engel;Maro;ITB1048870;Gounon;Jules;ICCB219548;Juncadella;Daniel;ITA-0023-ESP;;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;14:45:10.579;14:45:10.579;8:15.915;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;495,915;            ;1
4;Enge;Engel;Maro;ITB1048870;Gounon;Jules;ICCB219548;Juncadella;Daniel;ITA-0023-ESP;;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;15:00:40.357;15:00:40.357;8:23.387;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;503,387;            ;2
4;Enge;Engel;Maro;ITB1048870;Gounon;Jules;ICCB219548;Juncadella;Daniel;ITA-0023-ESP;;;;DEU ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;15:09:18.589;15:09:18.589;8:38.232;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;518,232;            ;2
5;Kolb;Kolb;Vincent;ITC-C1138981;Stippler;Frank;ITC-C1039089;Feller;Ricardo;1239;Van der Linde;Kelvin;INT-B 03727;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;14:20:34.049;14:20:34.049;8:27.649;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;507,649;            ;3
5;Kolb;Kolb;Vincent;ITC-C1138981;Stippler;Frank;ITC-C1039089;Feller;Ricardo;1239;Van der Linde;Kelvin;INT-B 03727;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;14:28:59.674;14:28:59.674;8:25.625;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;505,625;            ;3
5;Kolb;Kolb;Vincent;ITC-C1138981;Stippler;Frank;ITC-C1039089;Feller;Ricardo;1239;Van der Linde;Kelvin;INT-B 03727;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;3;14:37:16.092;14:37:16.092;8:16.418;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,418;            ;3
5;Kolb;Kolb;Vincent;ITC-C1138981;Stippler;Frank;ITC-C1039089;Feller;Ricardo;1239;Van der Linde;Kelvin;INT-B 03727;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;4;14:51:41.104;14:51:41.104;8:20.694;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;500,694;            ;2
5;Kolb;Kolb;Vincent;ITC-C1138981;Stippler;Frank;ITC-C1039089;Feller;Ricardo;1239;Van der Linde;Kelvin;INT-B 03727;DEU ;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;5;15:00:09.323;15:00:09.323;8:28.219;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;508,219;            ;2
6;Haup;Haupt;Hubert;ITB1059620;Dienst;Marvin;ITB1106777;Bastian;Nico;ITB1076611;Piana;Gabriele;386645;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;1;14:40:16.051;14:40:16.051;8:18.387;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;498,387;by HRT      ;3
6;Haup;Haupt;Hubert;ITB1059620;Dienst;Marvin;ITB1106777;Bastian;Nico;ITB1076611;Piana;Gabriele;386645;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;2;14:48:34.330;14:48:34.330;8:18.279;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;498,279;by HRT      ;3
6;Haup;Haupt;Hubert;ITB1059620;Dienst;Marvin;ITB1106777;Bastian;Nico;ITB1076611;Piana;Gabriele;386645;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;3;15:02:31.729;15:02:31.729;8:25.976;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;505,976;by HRT      ;2
6;Haup;Haupt;Hubert;ITB1059620;Dienst;Marvin;ITB1106777;Bastian;Nico;ITB1076611;Piana;Gabriele;386645;DEU ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;4;15:17:00.858;15:17:00.858;8:52.571;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;532,571;by HRT      ;4
7;Jeff;Jefferies;Axcil;INT A 1370/22;Pepper;Jordan;INT B 04582;Di Martino;Michele;ITC-C1075806;Hackländer;Maximilian;ITC-C1118702;DEU ;Konrad Motorsport GmbH;PRO-AM                                                      ;Lamborghini Huracan GT3;1;14:42:20.146;14:42:20.146;8:25.469;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;505,469;            ;2
7;Jeff;Jefferies;Axcil;INT A 1370/22;Pepper;Jordan;INT B 04582;Di Martino;Michele;ITC-C1075806;Hackländer;Maximilian;ITC-C1118702;DEU ;Konrad Motorsport GmbH;PRO-AM                                                      ;Lamborghini Huracan GT3;2;14:50:36.595;14:50:36.595;8:16.449;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,449;            ;2
10;Yerl;Yerly;Frédéric;CHIC1409;Schaller;Marek;ITC-C1151363;Hammel;Heiko;ITC-C1048944;Wasel;Matthias;ITC-C1097045;CHE ;Max Kruse Racing;PRO-AM                                                      ;Volkswagen Golf GTI TCR;1;14:21:45.792;14:21:45.792;9:19.075;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;559,075;            ;1
10;Yerl;Yerly;Frédéric;CHIC1409;Schaller;Marek;ITC-C1151363;Hammel;Heiko;ITC-C1048944;Wasel;Matthias;ITC-C1097045;CHE ;Max Kruse Racing;PRO-AM                                                      ;Volkswagen Golf GTI TCR;2;14:31:00.027;14:31:00.027;9:14.235;N;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;554,235;            ;1
10;Yerl;Yerly;Frédéric;CHIC1409;Schaller;Marek;ITC-C1151363;Hammel;Heiko;ITC-C1048944;Wasel;Matthias;ITC-C1097045;CHE ;Max Kruse Racing;PRO-AM                                                      ;Volkswagen Golf GTI TCR;3;14:40:10.188;14:40:10.188;9:10.161;J;SP 3T                                                       ;0000SP 3T                                                       ;;SP 3T   ;550,161;            ;1
11;Erha;Erhart;Elia;ITC-C1111799;Heimrich;Michael;ITC-C1124541;Kaffer;Pierre;ITC-C1054157;Klasen;Arno;ITC-C1063634;DEU ;Twin Busch by équipe vitesse;PRO-AM                                                      ;Audi R8 LMS GT3 Evo II;1;14:24:17.641;14:24:17.641;8:49.760;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;529,760;MH-Gewerbe-I;4
11;Erha;Erhart;Elia;ITC-C1111799;Heimrich;Michael;ITC-C1124541;Kaffer;Pierre;ITC-C1054157;Klasen;Arno;ITC-C1063634;DEU ;Twin Busch by équipe vitesse;PRO-AM                                                      ;Audi R8 LMS GT3 Evo II;2;14:33:07.627;14:33:07.627;8:49.986;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;529,986;MH-Gewerbe-I;4
11;Erha;Erhart;Elia;ITC-C1111799;Heimrich;Michael;ITC-C1124541;Kaffer;Pierre;ITC-C1054157;Klasen;Arno;ITC-C1063634;DEU ;Twin Busch by équipe vitesse;PRO-AM                                                      ;Audi R8 LMS GT3 Evo II;3;14:48:34.002;14:48:34.002;8:37.197;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;517,197;MH-Gewerbe-I;1
