INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER1_SPONSORLIZENZ;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER2_SPONSORLIZENZ;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER3_SPONSORLIZENZ;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER4_SPONSORLIZENZ;FAHRER4_RUNDEN;FAHRER4_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN
0001;44;Bach;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Bachler;Klaus;Unzmarkt;;IT-CJA1030;AUT;J;;1;12:55.070;Picariello;Alessio;Forchies-la-Marche;;ITB901589;BEL;J;;;00.000;Pilet;Patrick;Noisy le Roi;;ICCB 54892;FRA;J;;;00.000;Ragginger;Martin;Wals;;IT-BJA1113;AUT;J;;3;36:33.846;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);1;1;;;1;;;4;8:40.358;8:40.358;Y;;;;;11:49:28;3036;11:49:28;175.573;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;100.00;8:40.358;3;2;1:39.569;4;2:58.226;;;;;            ;Porsche                       ;4;;;1;1;1;0;
0002;26;Gros;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Grossmann;Björn;Oberndorf;;ITC-C1105015;CHE;;;;00.000;Trummer;Simon;Wallisellen;;248;CHE;J;;;00.000;Hirschi;Jonathan;Wallisellen;;INT-B 485;CHE;J;;2;41:19.046;Ludwig;Luca;Wallisellen;;ITC-C1124151;CHE;J;;;00.000;;octane126;PRO                                                         ;Ferrari 488 GT3 Evo20;2;2;08.486;+08.486;2;08.486;+08.486;2;8:48.844;8:48.844;Y;08.486;08.486;;;11:41:19;2827;11:41:19;172.756;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;101.63 ;8:48.844;1;3;;0;;;;;;Serliana    ;Ferrari                       ;3;;;1;1;1;0;
0003;25;Thys;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Thyssen;Joachim;München;;ITC-C1065026;DEU;J;;1;23:14.550;Rader;Klaus;München;;ITC-C1045103;DEU;J;;;00.000;Menzel;Nico;Kelberg;;ITC-C1117270;DEU;J;;;00.000;Kern;Lars;Wiernsheim;;ITB1118088;DEU;J;;2;25:18.111;;Huber Motorsport;PRO-AM                                                      ;Porsche 911 GT3R (991 II);3;3;08.775;+00.289;3;08.775;+00.289;3;8:49.133;8:49.133;Y;08.775;00.289;;;11:48:32;3027;11:48:32;172.661;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;101.69 ;8:49.133;2;2;3:53.362;4;;;;;;            ;Porsche                       ;4;;;0;0;1;0;
0004;33;Evan;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Evans;Jaxon;London;;INT B 191570X;DEU;J;;;00.000;Müller;Sven;Ockenheim;;ITC-C1101148;DEU;J;;2;21:34.539;Pilet;Patrick;Noisy le Roi;;ICCB 54892;FRA;J;;;00.000;Seefried;Marco;Wildschönau;;INT-B JA 2209;AUT;J;;2;25:04.959;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3R (991 II);4;4;10.306;+01.531;4;10.306;+01.531;4;8:50.664;8:50.664;Y;10.306;01.531;;;11:46:39;2989;11:46:39;172.163;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;101.98 ;8:50.664;2;3;3:44.491;5;;;;;;            ;Porsche                       ;4;;;0;0;1;0;
0005;1;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christensen;Michael;Monaco;;INTB05635;GBR;J;;;00.000;Estre;Kevin;Höchst;;INT-B171715;AUT;J;;3;40:37.105;Makowiecki;Frédéric;Perpignan;;INT A 53130;FRA;J;;;00.000;Vanthoor;Laurens;Heusden-Zolder;;INT-B903410;BEL;J;;;00.000;;Manthey-Racing GmbH;PRO                                                         ;Porsche 911 GT3R (991 II);5;5;12.238;+01.932;5;12.238;+01.932;3;8:52.596;8:52.596;Y;12.238;01.932;;;11:24:51;2027;11:24:51;171.539;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;102.35 ;8:56.382;2;3;3:27.967;4;;;;;;            ;Porsche                       ;2;;;1;1;1;0;
0006;3;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christodoulou;Adam;London;;ITB 100838;GBR;J;;;00.000;Götz;Maximilian;Uffenheim;;ITB1045239;DEU;J;;1;16:28.649;Schiller;Fabian;Troisdorf;;ITC-C1127224;DEU;J;;1;24:33.522;;;;;;;;;;00.000;;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;6;6;14.881;+02.643;6;14.881;+02.643;2;8:55.239;8:55.239;Y;14.881;02.643;;;11:24:33;2001;11:24:33;170.692;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;102.86 ;16:28.649;3;2;5:56.351;3;1:14.170;;;;;            ;Mercedes-AMG                  ;1;;;1;1;1;0;
0007;5;Kolb;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Kolb;Vincent;Frankfurt;;ITC-C1138981;DEU;J;;1;14:33.183;Stippler;Frank;Bad Münstereifel;;ITC-C1039089;DEU;J;;;00.000;Feller;Ricardo;Bözberg;;1239;CHE;J;;1;13:44.228;Van der Linde;Kelvin;Kempten;;INT-B 03727;DEU;J;;;00.000;;Scherer Sport Team Phoenix;PRO                                                         ;Audi R8 LMS GT3 Evo II;7;7;16.389;+01.508;7;16.389;+01.508;2;8:56.747;8:56.747;Y;16.389;01.508;;;11:28:17;2225;11:28:17;170.212;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;103.15 ;8:56.747;2;2;2:04.925;3;;;;;;            ;Audi                          ;1;;;0;0;1;0;
0008;116;Kofl;SP-X                                                        ;0000SP-X                                                        ;SP-X;;1;1;Kofler;Reinhard;Attnang-Puchheim;;IT-CJA1807;AUT;J;;;00.000;Siljehaug;Mads;Surheim;;itb NO40092;DEU;J;;1;46:38.259;Hofer;Max;Perchtolsdorf;;ITCJA2669;AUT;J;;;00.000;Heinemann;Tim;Fichtenberg;;ITC-C1141287;DEU;J;;;00.000;    ;True Racing;PRO-AM                                                      ;KTM X-Bow GT2;8;1;;;8;17.592;+01.203;1;8:57.950;8:57.950;Y;17.592;01.203;;;11:46:38;2988;11:46:38;169.831;;3;0;2;1;0;116;8:57.950;Kofler/Siljehaug/Hofer/Heinemann;Kofler/Siljehaug/Hofer/Heinemann;169.831;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;103.38 ;8:57.950;3;1;11:42.456;1;2:11.554;;;;;            ;KTM                           ;2;;;0;1;1;0;
0009;22;Haas;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Haase;Christopher;Kulmbach;;ITA1113842;DEU;J;;;00.000;Müller;Nico;Blumenstein;;498;CHE;J;;1;11:16.206;Niederhauser;Patric;Kehrsatz;;IT-B1358;CHE;J;;;00.000;Rast;René;Bregenz;;ITA1046542;AUT;J;;;00.000;;Audi Sport Team Car Collection;PRO                                                         ;Audi R8 LMS GT3 Evo II;9;8;21.029;+04.640;9;21.029;+03.437;1;9:01.387;9:01.387;N;21.029;03.437;;;11:11:16;958;11:11:16;168.753;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;104.04 ;9:01.387;1;2;23:27.321;0;;;;;;Lionspeed by;Audi                          ;3;;;1;1;1;0;
0010;6;Haup;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Haupt;Hubert;München;;ITB1059620;DEU;;;;00.000;Dienst;Marvin;Lampertheim;;ITB1106777;DEU;J;;;00.000;Bastian;Nico;Ludwigsburg;;ITB1076611;DEU;J;;1;11:21.094;Piana;Gabriele;Lugano;;386645;CHE;J;;;00.000;;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;10;9;21.157;+00.128;10;21.157;+00.128;1;9:01.515;9:01.515;Y;21.157;00.128;;;11:11:21;968;11:11:21;168.713;;21;0;16;5;0;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;;1;24;18;6;44;8:40.358;Bachler/Picariello/Pilet/Ragginger;Bachler/Picariello/Pilet/Ragginger;175.573;104.07 ;9:01.515;3;2;2:05.894;2;3:11.077;;;;;by HRT      ;Mercedes-AMG                  ;4;;;0;0;1;0;
