STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Verv;4;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;13:25:49.116;13:25:49.116;8:37.430;517,430;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;46.185;N;204;;47.053;N;220;;1:06.454;N;220;;10.462;N;269;;1:50.424;N;202;;36.679;N;246;;2:30.998;N;228;;20.134;N;266;;29.041;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;1;0;1;0;0;1;1;8:16.822
1;Verv;4;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;13:34:17.854;13:34:17.854;8:28.738;508,738;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.089;N;218;;44.103;N;230;;1:05.885;N;190;;11.191;N;263;;1:49.101;N;203;;35.694;N;246;;2:32.573;N;232;;20.073;J;267;;29.029;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;2;0;1;0;0;1;2;8:16.822
1;Verv;4;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;3;13:49:26.124;13:49:26.124;8:33.250;513,250;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.097;N;216;;43.168;N;231;;1:06.871;N;118;;18.630;N;216;;1:49.292;N;204;;35.798;N;244;;2:29.075;N;230;;20.261;N;265;;29.058;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;3;0;1;0;0;1;3;8:16.822
1;Verv;4;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;4;13:58:01.023;13:58:01.023;8:34.899;514,899;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.628;J;217;;43.497;N;229;;1:04.358;N;222;;10.414;N;270;;2:00.319;N;202;;35.893;N;244;;2:30.546;N;229;;20.280;N;267;;28.964;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;4;0;1;0;0;2;1;8:16.822
1;Verv;2;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;5;14:12:00.703;14:12:00.703;8:20.656;500,656;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.454;N;217;;43.527;N;228;;1:03.920;N;227;;10.378;N;268;;1:48.787;N;203;;36.589;N;242;;2:27.127;J;232;;20.197;N;265;;28.677;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;5;0;1;0;0;2;2;8:16.822
1;Verv;2;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;6;14:20:59.710;14:20:59.710;8:59.007;539,007;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.702;N;219;;45.312;N;229;;1:06.257;N;224;;10.420;N;268;;1:47.691;N;205;;52.013;N;48;;2:46.509;N;233;;20.086;N;266;;30.017;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;6;0;1;0;0;3;1;8:16.822
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;7;14:35:46.106;14:35:46.106;8:26.343;506,343;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.954;N;216;;43.805;N;231;;1:05.657;N;209;;10.755;N;264;;1:48.665;N;202;;35.635;N;246;;2:30.559;N;222;;20.162;N;268;;29.151;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;7;0;1;0;0;3;2;8:16.822
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;8;14:44:04.016;14:44:04.016;8:17.910;497,910;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.776;N;217;;43.093;J;231;;1:03.854;J;228;;10.350;J;269;;1:47.508;J;199;;35.567;J;244;;2:28.064;N;230;;20.076;N;268;;28.622;J;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;8;0;1;0;0;4;1;8:16.822
1;Verv;4;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;9;14:57:38.755;14:57:38.755;8:26.762;506,762;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.467;N;216;;43.837;N;231;;1:05.263;N;220;;10.545;N;269;;1:48.682;N;205;;36.115;N;239;;2:31.696;N;231;;20.164;N;266;;28.993;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;9;0;1;0;0;4;2;8:16.822
1;Verv;4;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;10;15:06:03.999;15:06:03.999;8:25.244;505,244;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.940;N;217;;43.505;N;231;;1:04.371;N;222;;10.389;N;270;;1:50.135;N;206;;36.697;N;239;;2:29.656;N;225;;20.401;N;265;;29.150;N;;;;N;;N;;N;8:16.822;9;N;0;;26780       ;;10;0;1;0;0;5;1;8:16.822
