INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN
0001;30;Bamb;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Bamber;Earl;Kuala Lumpur;;;ITC-A051713X;MYS;J;Catsburg;Nick;Voorthuizen;;;ITC-B26501;NLD;;Pittard;David;Nideggen;;;ITC-B174582;DEU;;Fernandez Laser;Felipe;Leipzig;;;ITC-A21860;DEU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;4:42:44.172;46;6:58:22.898;61;8:52:39.312;24;3:33:22.156;;00.000;;00.000;;00.000;;00.000;    ;Frikadelli Racing Team;PRO                                                         ;Ferrari 296 GT3;1;1;;;1;;;162;8:09.549;24:07:08.538;Y;;;;;170.456;104;31:33:44;186.622;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.00;8:54.323;20;5;2:27.409;13;3:19.642;8:10.518;4.;127.;;12230       ;Ferrari                       ;3;;;103;103;1;0;
0002;98;Witt;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Wittmann;Marco;Fürth;;;ITC-C10375;DEU;;van der Linde;Sheldon;Kempten;;;ITC-B07371;DEU;;Vanthoor;Dries;Hasselt, Limburg;;;ITC-B903381;BEL;;Martin;Maxime;Tervuren;;;ITC-B901749;BEL;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;5:25:50.636;40;5:53:15.226;45;6:48:25.969;40;6:00:03.618;;00.000;;00.000;;00.000;;00.000;    ;ROWE RACING;PRO                                                         ;BMW M4 GT3;2;2;26.911;+26.911;2;26.911;+26.911;162;8:12.434;24:07:35.449;Y;26.911;26.911;;;170.403;118;33:38:54;185.529;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.03 ;8:40.366;20;5;2:25.860;13;3:18.635;8:32.698;33.;98.;;15653       ;BMW                           ;3;;;27;27;1;0;
0003;4;Marc;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Marciello;Raffaele;Berganzona;;;ITC-A567;CHE;J;Stolz;Luca;Brachbach;;;ITC-C10277;DEU;J;Ellis;Philip;Baar;;;ITC-B462;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;8:40:48.391;72;10:45:32.012;31;4:42:32.446;;00.000;;00.000;;00.000;;00.000;;00.000;;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;3;3;1:44.311;+1:17.400;3;1:44.311;+1:17.400;162;8:11.145;24:08:52.849;Y;1:44.311;1:17.400;;;170.252;112;32:47:20;186.016;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.12 ;8:40.652;20;5;2:26.546;12;3:29.284;8:09.058;1.;130.;;26772       ;Mercedes-AMG                  ;2;;;2;2;1;0;
0004;2;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christodoulou;Adam;London;;;ITC-B100838;GBR;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;DEU;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;9:30:03.709;35;5:08:45.295;64;9:30:50.345;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;4;2:30.811;+46.500;4;2:30.811;+46.500;162;8:11.636;24:09:39.349;Y;2:30.811;46.500;;;170.161;117;33:31:37;185.830;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.17 ;8:41.930;20;6;2:46.556;14;3:17.963;8:11.824;10.;121.;;28206       ;Mercedes-AMG                  ;3;;;16;16;1;0;
0005;96;Olse;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Olsen;Dennis;Våler i Østfold;;;ITC-B33349;NOR;;Cairoli;Matteo;Como;;;ITC-B352500;ITA;;Andlauer;Julien;Dubai;;;ITC-B256472;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;6:31:37.573;63;9:26:16.613;55;8:16:52.730;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Rutronik - Racing;PRO                                                         ;Porsche 911 GT3 R (992);5;5;7:38.378;+5:07.567;5;7:38.378;+5:07.567;162;8:13.671;24:14:46.916;Y;7:38.378;5:07.567;;;169.561;108;32:13:35;185.064;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.53 ;8:51.363;20;6;2:45.471;14;3:17.470;8:12.583;21.;110.;;17981       ;Porsche                       ;3;;;0;0;1;0;
0006;39;Haas;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Haase;Christopher;Kulmbach;;;ITC-A10894;DEU;;Mies;Christopher;Düsseldorf;;;ITC-C12667;DEU;;Niederhauser;Patric;Kehrsatz;;;ITC-B1358;CHE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;7:50:51.175;54;8:10:04.695;55;8:06:40.027;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Audi Sport Team Land;PRO                                                         ;Audi R8 LMS GT3 evo II;6;6; 1 Rd.; 1 Rd.;6; 1 Rd.; 1 Rd.;161;8:14.659;24:07:35.897;Y;1 Runde;1 Runde;;;169.350;115;33:17:28;184.695;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.03 ;8:43.309;20;7;3:06.405;15;3:18.099;8:13.001;16.;115.;;1068817     ;Audi                          ;2;;;0;0;1;0;
0007;20;Weis;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Weiss;Leonard;Monschau;;;ITC-C12035;DEU;;Krumbach;Jochen;ECHEeiler;;;ITC-C13359;DEU;;Keilwitz;Daniel;Villingen-CHEenningen;;;ITC-C22136;DEU;;Dontje;Indy;Amsterdam;;;ITC-B28095;NLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;5:37:39.396;30;4:34:37.906;46;6:51:53.474;48;7:04:44.128;;00.000;;00.000;;00.000;;00.000;    ;WTM by Rinaldi Racing;PRO-AM                                                      ;Ferrari 296 GT3;7;7; 1 Rd.;+1:19.007;7; 1 Rd.;+1:19.007;161;8:08.006;24:08:54.904;Y;1 Runde;1:19.007;;;169.197;93;30:03:58;187.212;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.12 ;8:49.197;20;6;2:47.081;14;3:17.825;8:13.000;15.;116.;;15723       ;Ferrari                       ;1;;;0;0;1;0;
0008;6;Haup;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Haupt;Hubert;München;;;ITC-B10328;DEU;;Love;Jordan;Perth;;;ITC-C1133481;AUS;;Maini;Arjun;;;;INTA-4A23IRC003;NLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;6:02:23.617;47;7:10:40.789;74;11:02:30.213;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team Bilstein;PRO-AM                                                      ;Mercedes-AMG GT3;8;8; 1 Rd.;+6:39.715;8; 1 Rd.;+6:39.715;161;8:15.599;24:15:34.619;Y;1 Runde;6:39.715;;;168.422;127;35:08:38;184.344;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.58 ;9:15.720;20;5;2:26.364;13;3:18.086;8:11.311;7.;124.;;26772       ;Mercedes-AMG                  ;3;;;0;0;1;0;
0009;27;Van ;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Van der Linde;Kelvin;Kempten;;;ITC-B03727;DEU;;Mapelli;Marco;Lugano;;;ITC-B317;CHE;;Pepper;Jordan;Bromley;;;ITC-B04582;GBR;;Thiim;Nicki;Anif;;;ITC-C02368;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;7:56:06.821;28;4:08:19.956;40;6:05:14.041;39;5:58:18.321;;00.000;;00.000;;00.000;;00.000;    ;ABT Sportsline;PRO                                                         ;Lamborghini Huracan GT3 EVO2;9;9; 2 Rd.; 1 Rd.;9; 2 Rd.; 1 Rd.;160;8:12.813;24:07:59.139;Y;2 Runden;1 Runde;;;168.254;101;31:24:37;185.386;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.06 ;8:40.416;21;6;2:48.246;11;2:22.784;8:10.498;3.;128.;;23166       ;Lamborghini                   ;1;;;4;4;1;0;
0010;44;Erik;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Eriksson;Joel;Tomelilla;;;ITC-A7772;SWE;;Heinemann;Tim;Fichtenberg;;;ITC-C24805;DEU;;Menzel;Nico;Kelberg;;;ITC-C13283;DEU;J;Ragginger;Martin;Wals;;;ITC-BJA1113;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;5:44:30.168;39;5:55:03.526;43;6:25:40.870;40;6:04:13.819;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);10;10; 2 Rd.;+1:29.244;10; 2 Rd.;+1:29.244;160;8:14.446;24:09:28.383;Y;2 Runden;1:29.244;;;168.081;116;33:26:02;184.774;;32;0;16;16;0;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;;1;32;16;16;20;8:08.006;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;Weiss/Krumbach Jochen/Keilwitz Daniel/Dontje Indy;187.212;100.16 ;8:51.672;21;5;2:25.491;13;3:17.419;8:11.211;6.;125.;;22213       ;Porsche                       ;4;;;0;0;1;0;
