STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
1;Verv;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;18:50:58.716;18:50:58.716;8:11.687;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;491,687;26780       ;2
2;Chri;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;18:50:37.619;18:50:37.619;8:11.267;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;491,267;28206       ;3
5;Kolb;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;18:50:17.846;18:50:17.846;8:10.602;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;490,602;26779       ;3
7;Jeff;Jefferies;Axcil;Montabaur;;;ITC-A1372/23;Deut;J;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-CD4701-I;USA;J;Lefterov;Pavel;Sofia;;;ITC-CAFB-PIL-023-007-INT;Bulg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;1;18:47:53.979;18:47:53.979;8:16.147;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,147;BA009       ;2
16;Schr;Schramm;Kim Luis;Ilmenau;;;ITC-C20104;Deut;J;Beretta;Michele;Milano;;;ITC-B347027;Ital;;Winkelhock;Markus;Zdimerice;;;ITC-C11937;Tsch;;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;18:49:54.383;18:49:54.383;8:10.046;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;490,046;26779       ;4
19;Kohl;Kohlhaas;Christian;Andernach;;;ITC-C24876;Deut;;Aust;Stefan;Münster;;;ITC-C10415;Deut;;Ludwig;Luca;Alfter;;;ITC-C24928;Deut;;Stengel;Johannes;Stadtlohn;;;ITC-C33246;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;racing one;PRO-AM                                                      ;Ferrari 296 GT3;1;18:49:24.152;18:49:24.152;8:20.512;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;500,512;15750       ;4
20;Weis;Weiss;Leonard;Monschau;;;ITC-C12035;Deut;;Krumbach;Jochen;Eschweiler;;;ITC-C13359;Deut;;Keilwitz;Daniel;Villingen-Schwenningen;;;ITC-C22136;Deut;;Dontje;Indy;Amsterdam;;;ITC-B28095;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;WTM by Rinaldi Racing;PRO-AM                                                      ;Ferrari 296 GT3;1;18:47:41.592;18:47:41.592;8:11.023;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;491,023;15723       ;3
22;Engs;Engstler;Luca;Kempten;;;ITC-C12876;Deut;;Hofer;Max;Perchtoldsdorf;;;ITC-CJA12345;Öste;;Magnus;Gilles;Schoten;;;ITC-C908111;Belg;;Marschall;Dennis;Eggenstein-Leopoldshafen;;;ITC-C12238;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Audi Sport Team Car Collection;PRO                                                         ;Audi R8 LMS GT3 evo II;1;18:48:19.689;18:48:19.689;8:14.313;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,313;28193       ;4
25;Fetz;Fetzer;Dennis;Buseck;;;ITC-C24514;Deut;;Ledogar;Come;Pusignan;;;ITC-BICCB195977;Fran;;Kern;Lars;Wiernsheim;;;ITC-B10338;Deut;;Dumas;Romain;;;;ITC-A3434;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Huber Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);1;18:49:00.607;18:49:00.607;8:16.562;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,562;11275       ;2
28;Duma;Dumarey;Maxime;Gent;;;ITC-B902208;Belg;;Breuer;Christoph;Nettersheim;;;ITC-C15557;Deut;;Ortmann;Mike David;Ahrensfelde;;;ITC-C16758;Deut;;Green;Ben;Wickham Bishops, Essex,;;;ITC-C287299;Groß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belg;PROsport-Racing;PRO-AM                                                      ;Aston Martin Vantage AMR GT3;1;18:51:17.086;18:51:17.086;8:16.077;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,077;11132       ;3
40;Sche;Scheider;Timo;Lochau;;;ITC-A21463;Schw;;Tomczyk;Martin;Kolbermoor;;;ITC-C21060;Deut;;Rockenfeller;Mike;Landschlacht;;;ITC-B205;Schw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schw;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;18:48:55.154;18:48:55.154;8:18.733;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;498,733;26780       ;3
