INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN
0001;16;Schr;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Schramm;Kim Luis;Ilmenau;;;ITC-C20104;Deut;J;Beretta;Michele;Milano;;;ITC-B347027;Ital;;Winkelhock;Markus;Zdimerice;;;ITC-C11937;Tsch;;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;;00.000;1;19:52.160;;00.000;;00.000;;00.000;;00.000;    ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;1;;;1;;;1;8:10.046;8:10.046;N;;;;;18:49:54;376;18:49:54;186.433;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.00;8:10.046;1;2;;0;;00.000;14.;7.;;26779       ;Audi                          ;4;;;1;1;1;0;
0002;5;Kolb;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Kolb;Vincent;Frankfurt;;;ITC-C15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC-C18797;Deut;J;Sims;Alexander;Alcester;;;ITC-A100396;Groß;J;van der Zande;Renger;ET Amsterdam;;;ITC-A14103;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;1;20:15.623;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;2;00.556;+00.556;2;00.556;+00.556;1;8:10.602;8:10.602;Y;00.556;00.556;;;18:50:17;389;18:50:17;186.222;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.11 ;8:10.602;1;2;;0;;00.000;16.;5.;;26779       ;Audi                          ;3;;;0;0;1;0;
0003;20;Weis;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Weiss;Leonard;Monschau;;;ITC-C12035;Deut;;Krumbach;Jochen;Eschweiler;;;ITC-C13359;Deut;;Keilwitz;Daniel;Villingen-Schwenningen;;;ITC-C22136;Deut;;Dontje;Indy;Amsterdam;;;ITC-B28095;Nied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;1;17:39.369;;00.000;;00.000;;00.000;;00.000;;00.000;    ;WTM by Rinaldi Racing;PRO-AM                                                      ;Ferrari 296 GT3;3;3;00.977;+00.421;3;00.977;+00.421;1;8:11.023;8:11.023;N;00.977;00.421;;;18:47:41;320;18:47:41;186.062;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.20 ;8:11.023;1;2;;0;;00.000;2.;19.;;15723       ;Ferrari                       ;3;;;1;1;1;0;
0004;2;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christodoulou;Adam;London;;;ITC-B100838;Groß;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;Deut;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;1;20:35.396;;00.000;;00.000;;00.000;;00.000;;00.000;;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;4;01.221;+00.244;4;01.221;+00.244;1;8:11.267;8:11.267;N;01.221;00.244;;;18:50:37;400;18:50:37;185.970;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.25 ;8:11.267;1;2;;0;;00.000;18.;3.;;28206       ;Mercedes-AMG                  ;3;;;0;0;1;0;
0005;1;Verv;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;Belg;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;Ital;J;Feller;Ricardo;Bözberg;;;ITC-C1239;Schw;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;Däne;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;1;20:56.493;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;5;5;01.641;+00.420;5;01.641;+00.420;1;8:11.687;8:11.687;N;01.641;00.420;;;18:50:58;413;18:50:58;185.811;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.33 ;8:11.687;1;2;;0;;00.000;19.;2.;;26780       ;Audi                          ;2;;;0;0;1;0;
0006;911;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christensen;Michael;Monaco;;;ITC-A056358;Mona;J;Estre;Kevin;Hoechst;;;ITC-A171715;Öste;J;Makowiecki;Frédéric;;;;ITC-A53130;Fran;J;Preining;Thomas;Linz;;;ITC-A2529;Öste;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;1;17:34.360;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Manthey EMA;PRO                                                         ;Porsche 911 GT3 R (992);6;6;01.675;+00.034;6;01.675;+00.034;1;8:11.721;8:11.721;Y;01.675;00.034;;;18:47:36;318;18:47:36;185.798;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.34 ;8:11.721;1;2;;0;;00.000;1.;20.;;11946       ;Porsche                       ;2;;;1;1;1;0;
0007;96;Olse;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Olsen;Dennis;Våler i Østfold;;;ITC-B33349;Norw;;Cairoli;Matteo;Como;;;ITC-B352500;Ital;;Andlauer;Julien;Dubai;;;ITC-B256472;Vere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;1;19:31.525;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Rutronik - Racing;PRO                                                         ;Porsche 911 GT3 R (992);7;7;02.537;+00.862;7;02.537;+00.862;1;8:12.583;8:12.583;Y;02.537;00.862;;;18:49:33;369;18:49:33;185.473;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.52 ;8:12.583;1;2;;0;;00.000;13.;8.;;17981       ;Porsche                       ;2;;;0;0;1;0;
0008;22;Engs;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Engstler;Luca;Kempten;;;ITC-C12876;Deut;;Hofer;Max;Perchtoldsdorf;;;ITC-CJA12345;Öste;;Magnus;Gilles;Schoten;;;ITC-C908111;Belg;;Marschall;Dennis;Eggenstein-Leopoldshafen;;;ITC-C12238;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;;00.000;1;18:17.466;;00.000;;00.000;;00.000;;00.000;    ;Audi Sport Team Car Collection;PRO                                                         ;Audi R8 LMS GT3 evo II;8;8;04.267;+01.730;8;04.267;+01.730;1;8:14.313;8:14.313;N;04.267;01.730;;;18:48:19;336;18:48:19;184.824;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.87 ;8:14.313;1;2;;0;;00.000;6.;15.;;28193       ;Audi                          ;4;;;0;0;1;0;
0009;54;Vant;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Vanthoor;Laurens;Heusden-Zolder;;;ITC-A903410;Belg;;Heinrich;Laurin;Kürnach;;;ITC-C11223;Deut;J;Güven;Ayhancan;Gronau;;;ITC-A0101042300421;Deut;J;Engelhart;Christian;Starnberg;;;ITC-C11279;Deut;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;1;18:04.615;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Dinamic GT SRL;PRO                                                         ;Porsche 911 GT3 R (992);9;9;04.345;+00.078;9;04.345;+00.078;1;8:14.391;8:14.391;Y;04.345;00.078;;;18:48:06;332;18:48:06;184.795;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;100.89 ;8:14.391;1;2;;0;;00.000;5.;16.;;498633      ;Porsche                       ;2;;;0;0;1;0;
0010;28;Duma;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Dumarey;Maxime;Gent;;;ITC-B902208;Belg;;Breuer;Christoph;Nettersheim;;;ITC-C15557;Deut;;Ortmann;Mike David;Ahrensfelde;;;ITC-C16758;Deut;;Green;Ben;Wickham Bishops, Essex,;;;ITC-C287299;Groß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;1;21:14.863;;00.000;;00.000;;00.000;;00.000;;00.000;    ;PROsport-Racing;PRO-AM                                                      ;Aston Martin Vantage AMR GT3;10;10;06.031;+01.686;10;06.031;+01.686;1;8:16.077;8:16.077;N;06.031;01.686;;;18:51:17;421;18:51:17;184.167;;18;0;17;1;0;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;;1;18;17;1;16;8:10.046;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;Schramm/Beretta Michele/Winkelhock Markus/Feller Ricardo;186.433;101.23 ;8:16.077;1;2;;0;;00.000;20.;1.;;11132       ;Aston Martin                  ;3;;;0;0;1;0;
