STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
1;Verv;Vervisch;Frederic;Harelbeke;;;ITC-B900475;BEL;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;ITA;J;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;DNK;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;12:57:30.352;12:57:30.352;8:18.544;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;498,544;26780       ;1
1;Verv;Vervisch;Frederic;Harelbeke;;;ITC-B900475;BEL;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;ITA;J;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;DNK;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;13:16:57.907;13:16:57.907;19:27.555;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;1167,555;26780       ;1
1;Verv;Vervisch;Frederic;Harelbeke;;;ITC-B900475;BEL;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;ITA;J;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;DNK;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;3;13:26:07.632;13:26:07.632;9:09.725;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;549,725;26780       ;1
2;Chri;Christodoulou;Adam;London;;;ITC-B100838;GBR;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;DEU;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;13:18:12.073;13:18:12.073;8:21.723;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;501,723;28206       ;1
2;Chri;Christodoulou;Adam;London;;;ITC-B100838;GBR;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;DEU;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;13:26:47.263;13:26:47.263;8:35.190;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;515,190;28206       ;1
3;Enge;Engel;Maro;MCOco;;;ITC-B11293;MCO;J;Gounon;Jules;Anyos;;;ITC-A001AND;AND;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;ESP;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MCO ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;12:57:03.713;12:57:03.713;8:24.315;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;504,315;28206       ;2
3;Enge;Engel;Maro;MCOco;;;ITC-B11293;MCO;J;Gounon;Jules;Anyos;;;ITC-A001AND;AND;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;ESP;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MCO ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;13:15:13.757;13:15:13.757;8:19.111;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;499,111;28206       ;3
4;Marc;Marciello;Raffaele;Berganzona;;;ITC-A567;CHE;J;Stolz;Luca;Brachbach;;;ITC-C10277;DEU;J;Ellis;Philip;Baar;;;ITC-B462;CHE;J;Mortara;Edoardo;Geneva;;;ITC-A733;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CHE ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;1;13:07:26.112;13:07:26.112;15:46.367;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;946,367;26772       ;2
4;Marc;Marciello;Raffaele;Berganzona;;;ITC-A567;CHE;J;Stolz;Luca;Brachbach;;;ITC-C10277;DEU;J;Ellis;Philip;Baar;;;ITC-B462;CHE;J;Mortara;Edoardo;Geneva;;;ITC-A733;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CHE ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;2;13:20:28.690;13:20:28.690;13:02.578;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;782,578;26772       ;4
4;Marc;Marciello;Raffaele;Berganzona;;;ITC-A567;CHE;J;Stolz;Luca;Brachbach;;;ITC-C10277;DEU;J;Ellis;Philip;Baar;;;ITC-B462;CHE;J;Mortara;Edoardo;Geneva;;;ITC-A733;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CHE ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;3;13:29:18.665;13:29:18.665;8:49.975;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;529,975;26772       ;4
