INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN
0001;44;Erik;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Eriksson;Joel;Tomelilla;;;ITC-A7772;SWE;;Heinemann;Tim;Fichtenberg;;;ITC-C24805;DEU;;Menzel;Nico;Kelberg;;;ITC-C13283;DEU;J;Ragginger;Martin;Wals;;;ITC-BJA1113;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;;00.000;3;46:47.911;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);1;1;;;1;;;3;8:16.647;8:16.647;N;;;;;13:09:47;2097;13:09:47;183.955;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.00;8:44.518;2;1;2:00.906;4;;;;;;22213       ;Porsche                       ;4;;;1;1;1;0;
0002;33;Bach;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Bachler;Klaus;Unzmarkt;;;ITC-CJA1030;AUT;;Müller;Sven;Ockenheim;;;ITC-C11220;DEU;;Picariello;Alessio;Forchies-la-Marche;;;ITC-B901589;BEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;4;46:50.491;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);2;2;00.169;+00.169;2;00.169;+00.169;4;8:16.816;8:16.816;N;00.169;00.169;;;13:09:45;2093;13:09:45;183.893;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.03 ;8:48.077;2;1;1:18.629;5;;;;;;22213       ;Porsche                       ;2;;;1;1;1;0;
0003;911;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christensen;Michael;MCOco;;;ITC-A056358;MCO;J;Estre;Kevin;Hoechst;;;ITC-A171715;AUT;J;Makowiecki;Frédéric;;;;ITC-A53130;FRA;J;Preining;Thomas;Linz;;;ITC-A2529;AUT;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;2;27:39.783;;00.000;2;19:40.044;;00.000;;00.000;;00.000;;00.000;    ;Manthey EMA;PRO                                                         ;Porsche 911 GT3 R (992);3;3;00.231;+00.062;3;00.231;+00.062;4;8:16.878;8:16.878;N;00.231;00.062;;;13:13:25;2284;13:13:25;183.870;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.05 ;8:36.606;3;3;2:04.428;4;1:51.648;;;;;11946       ;Porsche                       ;2;;;0;0;1;0;
0004;39;Haas;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Haase;Christopher;Kulmbach;;;ITC-A10894;DEU;;Mies;Christopher;Düsseldorf;;;ITC-C12667;DEU;;Niederhauser;Patric;Kehrsatz;;;ITC-B1358;CHE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;39:25.082;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Audi Sport Team Land;PRO                                                         ;Audi R8 LMS GT3 evo II;4;4;00.271;+00.040;4;00.271;+00.040;3;8:16.918;8:16.918;Y;00.271;00.040;;;13:05:47;1914;13:05:47;183.855;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.05 ;8:23.692;3;2;3:27.910;3;1:50.260;;;;;1068817     ;Audi                          ;1;;;2;2;1;0;
0005;1;Verv;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;BEL;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;ITA;J;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;DNK;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;46:07.045;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;5;5;01.897;+01.626;5;01.897;+01.626;3;8:18.544;8:18.544;N;01.897;01.626;;;12:57:30;1414;12:57:30;183.255;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.38 ;9:09.725;2;2;9:28.871;4;;;;;;26780       ;Audi                          ;1;;;1;1;1;0;
0006;101;Krog;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Krognes;Christian;Hamar;;;ITC-C31791;NOR;;Giermaziak;Jakub;Piaski;;;ITC-C10054;POL;;Krohn;Jesse;Vantaa;;;ITC-B22196154;FIN;;Soucek;Andy;Barcelona;;;ITC-B0388-ESP;ESP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;20:33.515;;00.000;;00.000;3;29:09.910;;00.000;;00.000;;00.000;;00.000;    ;Walkenhorst Motorsport;PRO                                                         ;BMW M4 GT3;6;6;02.122;+00.225;6;02.122;+00.225;4;8:18.769;8:18.769;Y;02.122;00.225;;;13:20:58;2593;13:20:58;183.173;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.43 ;8:45.483;3;1;1:39.395;2;2:01.707;;;;;10417       ;BMW                           ;4;;;0;0;1;0;
0007;3;Enge;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Engel;Maro;MCOco;;;ITC-B11293;MCO;J;Gounon;Jules;Anyos;;;ITC-A001AND;AND;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;ESP;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;1;17:03.126;1;18:10.044;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;7;7;02.464;+00.342;7;02.464;+00.342;2;8:19.111;8:19.111;N;02.464;00.342;;;13:15:13;2360;13:15:13;183.047;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.50 ;8:19.111;4;1;3:10.915;2;6:24.888;;;;;28206       ;Mercedes-AMG                  ;3;;;0;0;1;0;
0008;16;Schr;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Schramm;Kim Luis;Ilmenau;;;ITC-C20104;DEU;J;Beretta;Michele;Milano;;;ITC-B347027;ITA;;Winkelhock;Markus;Zdimerice;;;ITC-C11937;CZE;;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;24:46.720;1;15:18.656;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;8;8;03.131;+00.667;8;03.131;+00.667;3;8:19.778;8:19.778;Y;03.131;00.667;;;13:04:47;1858;13:04:47;182.803;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.63 ;8:24.127;2;3;3:17.700;4;;;;;;26779       ;Audi                          ;2;;;0;0;1;0;
0009;96;Olse;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Olsen;Dennis;Våler i Østfold;;;ITC-B33349;NOR;;Cairoli;Matteo;Como;;;ITC-B352500;ITA;;Andlauer;Julien;Dubai;;;ITC-B256472;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;33:01.965;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Rutronik - Racing;PRO                                                         ;Porsche 911 GT3 R (992);9;9;04.003;+00.872;9;04.003;+00.872;1;8:20.650;8:20.650;Y;04.003;00.872;;;13:13:02;2269;13:13:02;182.484;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;100.81 ;8:20.650;2;1;1:27.998;2;;;;;;17981       ;Porsche                       ;1;;;0;0;1;0;
0010;2;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christodoulou;Adam;London;;;ITC-B100838;GBR;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;DEU;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;46:46.676;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;10;10;05.076;+01.073;10;05.076;+01.073;2;8:21.723;8:21.723;Y;05.076;01.073;;;13:18:12;2470;13:18:12;182.094;;23;0;21;2;0;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;;1;23;21;2;44;8:16.647;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;Eriksson/Heinemann Tim/Menzel Nico/Ragginger Martin;183.955;101.02 ;8:35.190;2;1;13:54.667;3;;;;;;28206       ;Mercedes-AMG                  ;1;;;0;0;1;0;
