STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;BEL;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;ITA;J;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;DNK;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;1;12:57:30.352;12:57:30.352;8:18.544;498,544;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.442;N;219;;43.393;N;231;;1:03.930;N;228;;10.338;N;270;;1:47.421;N;205;;35.605;N;244;;2:28.880;N;230;;20.037;J;268;;28.498;J;;;;N;;N;;N;8:15.869;5;N;0;;26780       ;;1;0;1;0;0;1;1;8:15.869
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;BEL;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;ITA;J;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;DNK;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;2;13:16:57.907;13:16:57.907;19:27.555;1167,555;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;11:50.711;N;216;;43.232;N;229;;1:03.511;N;227;;10.371;N;269;;1:46.444;N;204;;35.411;J;245;;2:28.875;J;230;;20.070;N;263;;28.930;N;;;;N;;N;;N;8:15.869;5;N;0;;26780       ;;2;0;1;0;0;1;2;8:15.869
1;Verv;1;Vervisch;Frederic;Harelbeke;;;ITC-B900475;BEL;J;Drudi;Mattia;Misano Adriatico;;;ITC-B349;ITA;J;Feller;Ricardo;Bözberg;;;ITC-C1239;CHE;J;Lind;Dennis;Kopenhagen;;;ITC-B05061;DNK;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEL ;Audi Sport Team Scherer PHX;PRO                                                         ;Audi R8 LMS GT3 evo II;3;13:26:07.632;13:26:07.632;9:09.725;549,725;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.421;J;218;;43.064;J;230;;1:03.170;J;230;;10.301;J;270;;1:46.092;J;202;;46.750;N;184;;3:06.501;N;212;;20.666;N;265;;32.760;N;;;;N;;N;;N;8:15.869;5;N;0;;26780       ;;3;0;1;0;0;2;1;8:15.869
2;Chri;1;Christodoulou;Adam;London;;;ITC-B100838;GBR;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;DEU;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;13:18:12.073;13:18:12.073;8:21.723;501,723;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.886;N;218;;43.807;N;228;;1:05.511;N;219;;10.532;N;263;;1:47.897;J;204;;35.572;J;246;;2:28.154;J;231;;19.973;J;269;;28.391;J;;;;N;;N;;N;8:17.447;10;N;0;;28206       ;;1;0;1;0;0;1;1;8:17.447
2;Chri;1;Christodoulou;Adam;London;;;ITC-B100838;GBR;J;Götz;Maximilian;Uffenheim;;;ITC-B11243;DEU;J;Schiller;Fabian;Troisdorf;;;ITC-C11453;DEU;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GBR ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;13:26:47.263;13:26:47.263;8:35.190;515,190;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.353;J;219;;43.185;J;231;;1:03.592;J;225;;10.330;J;268;;1:48.207;N;201;;41.821;N;220;;2:39.141;N;230;;20.042;N;269;;28.519;N;;;;N;;N;;N;8:17.447;10;N;0;;28206       ;;2;0;1;0;0;1;2;8:17.447
3;Enge;2;Engel;Maro;MCOco;;;ITC-B11293;MCO;J;Gounon;Jules;Anyos;;;ITC-A001AND;AND;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;ESP;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MCO ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;12:57:03.713;12:57:03.713;8:24.315;504,315;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;42.144;N;216;;43.155;J;231;;1:04.919;N;216;;10.643;N;262;;1:49.907;N;205;;35.674;N;247;;2:29.120;N;232;;20.101;J;267;;28.652;N;;;;N;;N;;N;8:18.939;7;N;0;;28206       ;;1;0;1;0;0;1;1;8:18.939
3;Enge;3;Engel;Maro;MCOco;;;ITC-B11293;MCO;J;Gounon;Jules;Anyos;;;ITC-A001AND;AND;J;Juncadella;Daniel;Barcelona;;;ITC-A0023-ESP;ESP;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MCO ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;13:15:13.757;13:15:13.757;8:19.111;499,111;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.395;J;218;;43.290;N;230;;1:04.318;J;222;;10.509;J;263;;1:47.370;J;204;;35.482;J;244;;2:28.048;J;229;;20.138;N;267;;28.561;J;;;;N;;N;;N;8:18.939;7;N;0;;28206       ;;2;0;1;0;0;1;2;8:18.939
4;Marc;2;Marciello;Raffaele;Berganzona;;;ITC-A567;CHE;J;Stolz;Luca;Brachbach;;;ITC-C10277;DEU;J;Ellis;Philip;Baar;;;ITC-B462;CHE;J;Mortara;Edoardo;Geneva;;;ITC-A733;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CHE ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;1;13:07:26.112;13:07:26.112;15:46.367;946,367;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;8:08.305;N;217;;43.706;N;230;;1:03.714;J;224;;10.466;J;264;;1:47.011;J;203;;35.416;J;245;;2:29.172;N;233;;20.141;N;266;;28.436;J;;;;N;;N;;N;8:18.115;20;N;0;;26772       ;;1;0;1;0;0;1;1;8:18.115
4;Marc;4;Marciello;Raffaele;Berganzona;;;ITC-A567;CHE;J;Stolz;Luca;Brachbach;;;ITC-C10277;DEU;J;Ellis;Philip;Baar;;;ITC-B462;CHE;J;Mortara;Edoardo;Geneva;;;ITC-A733;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CHE ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;2;13:20:28.690;13:20:28.690;13:02.578;782,578;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;5:19.542;N;219;;44.794;N;228;;1:05.247;N;218;;10.551;N;263;;1:48.211;N;203;;35.963;N;244;;2:29.051;J;233;;20.070;J;267;;29.149;N;;;;N;;N;;N;8:18.115;20;N;0;;26772       ;;2;0;1;0;0;1;2;8:18.115
4;Marc;4;Marciello;Raffaele;Berganzona;;;ITC-A567;CHE;J;Stolz;Luca;Brachbach;;;ITC-C10277;DEU;J;Ellis;Philip;Baar;;;ITC-B462;CHE;J;Mortara;Edoardo;Geneva;;;ITC-A733;CHE;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CHE ;Mercedes-AMG Team Bilstein;PRO                                                         ;Mercedes-AMG GT3;3;13:29:18.665;13:29:18.665;8:49.975;529,975;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.715;J;219;;43.236;J;232;;1:04.538;N;221;;10.491;N;263;;1:49.887;N;203;;42.610;N;239;;2:49.490;N;226;;20.241;N;268;;28.767;N;;;;N;;N;;N;8:18.115;20;N;0;;26772       ;;3;0;1;0;0;2;1;8:18.115
