STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;13:08:17.786;13:08:17.786;8:34.306;514,306;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;50.569;N;212;;44.490;N;234;;1:05.661;N;225;;10.416;N;269;;1:48.173;N;204;;35.560;N;246;;2:29.366;N;230;;20.462;N;260;;29.609;N;;;;N;;N;;N;8:12.931;2;N;0;;28206       ;;1;0;0;0;0;1;1;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;13:16:35.351;13:16:35.351;8:17.565;497,565;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.931;N;215;;42.755;N;234;;1:03.852;N;228;;10.355;N;268;;1:46.679;N;205;;35.522;N;245;;2:28.069;N;230;;20.459;N;258;;28.943;N;;;;N;;N;;N;8:12.931;2;N;0;;28206       ;;2;0;0;0;0;1;2;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;3;13:24:51.128;13:24:51.128;8:15.777;495,777;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.693;N;215;;42.636;N;234;;1:03.324;N;233;;10.261;N;269;;1:46.471;N;205;;35.390;N;245;;2:27.734;N;230;;20.365;N;261;;28.903;J;;;;N;;N;;N;8:12.931;2;N;0;;28206       ;;3;0;0;0;0;1;3;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;4;13:34:22.814;13:34:22.814;9:31.686;571,686;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.565;N;216;;42.917;N;235;;1:04.163;N;229;;10.275;N;270;;1:48.525;N;205;;35.412;N;245;;3:39.788;N;227;;20.295;N;265;;29.746;N;;;;N;;N;;N;8:12.931;2;N;0;;28206       ;;4;0;0;0;0;1;4;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;5;13:43:40.293;13:43:40.293;9:17.479;557,479;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.822;N;216;;43.045;N;235;;1:03.720;N;229;;10.277;N;271;;1:48.654;N;204;;36.747;N;246;;3:24.588;N;230;;20.568;N;258;;29.058;N;;;;N;;N;;N;8:12.931;2;N;0;;28206       ;;5;0;0;0;0;1;5;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;6;13:52:51.692;13:52:51.692;9:11.399;551,399;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.615;N;217;;42.730;N;234;;1:03.551;N;233;;10.192;J;272;;1:46.278;J;205;;35.541;N;244;;3:15.527;N;229;;20.335;N;263;;;N;;;;N;;N;;N;8:12.931;2;J;0;2:45.774;28206       ;13:52:43.579;6p;0;0;0;0;1;6;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;7;14:04:19.400;14:04:19.400;11:27.708;687,708;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;3:29.507;N;171;;58.302;N;232;;1:03.973;N;228;;10.322;N;269;;1:47.874;N;204;;35.546;N;245;;2:32.629;N;227;;20.457;N;259;;29.098;N;;;;N;;N;;N;8:12.931;2;A;0;;28206       ;;7;0;0;0;0;2;1;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;8;14:12:51.977;14:12:51.977;8:32.577;512,577;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.954;N;158;;57.911;N;233;;1:03.706;N;230;;10.312;N;268;;1:47.136;N;204;;35.634;N;243;;2:27.471;N;230;;20.517;N;258;;28.936;N;;;;N;;N;;N;8:12.931;2;N;0;;28206       ;;8;0;0;0;0;2;2;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;9;14:21:25.307;14:21:25.307;8:33.330;513,330;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.672;N;176;;58.336;N;233;;1:04.391;N;214;;10.744;N;262;;1:46.691;N;203;;35.620;N;243;;2:27.345;N;231;;20.511;N;258;;29.020;N;;;;N;;N;;N;8:12.931;2;N;0;;28206       ;;9;0;0;0;0;2;3;8:12.931
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;10;14:29:57.759;14:29:57.759;8:32.452;512,452;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.506;N;216;;42.776;N;233;;1:04.285;N;209;;10.850;N;262;;1:47.983;N;205;;35.497;N;245;;2:28.119;N;232;;20.294;N;264;;42.142;N;;;;N;;N;;N;8:12.931;2;N;0;;28206       ;;10;0;0;0;0;2;4;8:12.931
