STNR;KUERZEL;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;RUNDENZEIT_SEKUNDEN;BEWERBERLIZENZ;DRIVERID
2;Chri;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;10:57:08.534;10:57:08.534;8:15.651;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;495,651;28206       ;1
2;Chri;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;11:05:22.382;11:05:22.382;8:13.848;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;493,848;28206       ;1
5;Kolb;Kolb;Vincent;Frankfurt;;;INTC-15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC18797;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;10:59:14.342;10:59:14.342;8:14.104;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,104;26779       ;2
5;Kolb;Kolb;Vincent;Frankfurt;;;INTC-15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC18797;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;11:07:28.208;11:07:28.208;8:13.866;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;493,866;26779       ;2
7;Jeff;Jefferies;Axcil;Montabaur;;;1372/23;Deut;;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-C-D4701-I;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;1;10:59:44.086;10:59:44.086;8:21.323;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;501,323;BA009       ;1
7;Jeff;Jefferies;Axcil;Montabaur;;;1372/23;Deut;;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-C-D4701-I;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;2;11:08:02.420;11:08:02.420;8:18.334;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;498,334;BA009       ;1
11;Heye;Heyer;Kenneth;Viersen;;;ITB14315;Deut;;Caresani;Collin;Aerdenhout;;;IA 39802;Nied;;Trefz;Luca-Sandro;Wüstenrot;;;ITC13276;Deut;;Marchewicz;Marcel;Schwetzingen;;;ITC10776;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Schnitzelalm Racing;PRO-AM                                                      ;Mercedes-AMG GT3;1;10:57:18.581;10:57:18.581;8:15.707;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;495,707;12287       ;4
11;Heye;Heyer;Kenneth;Viersen;;;ITB14315;Deut;;Caresani;Collin;Aerdenhout;;;IA 39802;Nied;;Trefz;Luca-Sandro;Wüstenrot;;;ITC13276;Deut;;Marchewicz;Marcel;Schwetzingen;;;ITC10776;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Schnitzelalm Racing;PRO-AM                                                      ;Mercedes-AMG GT3;2;11:05:33.514;11:05:33.514;8:14.933;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,933;12287       ;4
16;Schr;Schramm;Kim Luis;Ilmenau;;;ITC20104;Deut;;Sims;Alexander;Alcester;;;100396;Groß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;10:58:26.640;10:58:26.640;8:16.048;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;496,048;26779       ;1
16;Schr;Schramm;Kim Luis;Ilmenau;;;ITC20104;Deut;;Sims;Alexander;Alcester;;;100396;Groß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;11:06:41.063;11:06:41.063;8:14.423;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;494,423;26779       ;1
