INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN
0001;33;Erik;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Eriksson;Joel;Tomelilla;;;INT A 7772;Schw;;Menzel;Nico;Kelberg;;;ITC 13283;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;2;27:35.871;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);1;1;;;1;;;2;8:12.569;8:12.569;N;;;;;10:59:24;409;10:59:24;185.478;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.00;8:15.221;;;;;;00.000;13.;10.;;BIF 22213   ;Porsche                       ;2;;;1;1;1;0;
0002;24;Camp;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Campbell;Matt;Stuttgart;;;1090587;Deut;;Jaminet;Mathieu;Differdange;;;219550;Luxe;;Kolb;Patrick;Bad Homburg;;;IC16042;Deut;;Pilet;Patrick;Noisy le Roi;;;54892;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;27:43.658;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Lionspeed by Car Collection Motorsport;PRO                                                         ;Porsche 911 GT3 R (992);2;2;00.301;+00.301;2;00.301;+00.301;2;8:12.870;8:12.870;Y;00.301;00.301;;;11:07:47;602;11:07:47;185.365;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.06 ;8:12.870;;;;;;00.000;14.;9.;;28196       ;Porsche                       ;1;;;0;0;1;0;
0003;27;Van ;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Van der Linde;Kelvin;Kempten;;;int-b 03727;Deut;;Stuck;Fedinand;München;;;31289;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;26:52.635;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;ABT Sportsline;PRO                                                         ;Lamborghini Huracan GT3 EVO2;3;3;01.082;+00.781;3;01.082;+00.781;2;8:13.651;8:13.651;N;01.082;00.781;;;11:06:56;578;11:06:56;185.072;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.22 ;8:13.651;1;3;;0;;00.000;9.;14.;;23166       ;Lamborghini                   ;1;;;0;0;1;0;
0004;30;Bamb;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Bamber;Earl;Kuala Lumpur;;;N051713X;Mala;;Catsburg;Nicky;Voorthuizen;;;26501;Nied;J;Pittard;David;Nideggen;;;174582;Deut;;Fernandez Laser;Felipe;Leipzig;;;21860;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;2;25:04.352;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Frikadelli Racing Team;PRO                                                         ;Ferrari 296 GT3;4;4;01.157;+00.075;4;01.157;+00.075;2;8:13.726;8:13.726;N;01.157;00.075;;;10:56:54;341;10:56:54;185.044;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.23 ;8:13.758;1;3;;0;;00.000;1.;22.;;12230       ;Ferrari                       ;2;;;1;1;1;0;
0005;2;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;25:18.409;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;5;5;01.279;+00.122;5;01.279;+00.122;2;8:13.848;8:13.848;N;01.279;00.122;;;11:05:22;542;11:05:22;184.998;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.26 ;8:13.848;1;3;;0;;00.000;2.;21.;;28206       ;Mercedes-AMG                  ;1;;;0;0;1;0;
0006;5;Kolb;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Kolb;Vincent;Frankfurt;;;INTC-15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC18797;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;2;27:24.235;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;6;6;01.297;+00.018;6;01.297;+00.018;2;8:13.866;8:13.866;Y;01.297;00.018;;;11:07:28;594;11:07:28;184.991;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.26 ;8:13.866;;;;;;00.000;12.;11.;;26779       ;Audi                          ;2;;;0;0;1;0;
0007;16;Schr;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Schramm;Kim Luis;Ilmenau;;;ITC20104;Deut;;Sims;Alexander;Alcester;;;100396;Groß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;26:37.090;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;7;7;01.854;+00.557;7;01.854;+00.557;2;8:14.423;8:14.423;N;01.854;00.557;;;11:06:41;572;11:06:41;184.783;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.38 ;8:14.423;1;3;;0;;00.000;7.;16.;;26779       ;Audi                          ;1;;;0;0;1;0;
0008;911;Chri;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Christensen;Michael;Monaco;;;5635;Mona;;Estre;Kevin;HOECHST;;;171715;Öste;;Makowiecki;Frédéric;Montpellier;;;ICCA53130;Fran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;2;27:11.279;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Manthey;PRO                                                         ;Porsche 911 GT3 R (992);8;8;02.278;+00.424;8;02.278;+00.424;2;8:14.847;8:14.847;N;02.278;00.424;;;10:58:58;395;10:58:58;184.624;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.46 ;8:16.472;1;3;;0;;00.000;11.;12.;;11946       ;Porsche                       ;3;;;0;0;1;0;
0009;11;Heye;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Heyer;Kenneth;Viersen;;;ITB14315;Deut;;Caresani;Collin;Aerdenhout;;;IA 39802;Nied;;Trefz;Luca-Sandro;Wüstenrot;;;ITC13276;Deut;;Marchewicz;Marcel;Schwetzingen;;;ITC10776;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;;00.000;2;25:29.541;;00.000;;00.000;;00.000;;00.000;    ;Schnitzelalm Racing;PRO-AM                                                      ;Mercedes-AMG GT3;9;9;02.364;+00.086;9;02.364;+00.086;2;8:14.933;8:14.933;N;02.364;00.086;;;11:05:33;547;11:05:33;184.592;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.48 ;8:14.933;1;3;;0;;00.000;3.;20.;;12287       ;Mercedes-AMG                  ;4;;;0;0;1;0;
0010;44;Hein;SP 9                                                        ;0000SP 9                                                        ;SP 9;;1;1;Heinemann;Tim;Fichtenberg;;;ITC-C24805;Deut;;Ragginger;Martin;Wals;;;JA 1113;Öste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;27:02.616;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;PRO                                                         ;Porsche 911 GT3 R (992);10;10;02.426;+00.062;10;02.426;+00.062;2;8:14.995;8:14.995;Y;02.426;00.062;;;11:07:06;584;11:07:06;184.569;;20;0;20;0;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;;1;20;20;0;33;8:12.569;Eriksson/Menzel Nico;Eriksson/Menzel Nico;185.478;100.49 ;8:14.995;1;3;;0;;00.000;10.;13.;;BIF 22213   ;Porsche                       ;1;;;0;0;1;0;
