STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;PRIO;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;1;10:57:08.534;10:57:08.534;8:15.651;495,651;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.900;N;213;;42.616;N;232;;1:03.356;N;233;;10.317;N;266;;1:46.269;N;205;;35.576;J;242;;2:26.809;N;230;;20.594;N;257;;29.214;N;;;;N;;N;;N;8:13.835;5;N;0;;28206       ;;1;0;0;0;0;1;1;8:13.835
2;Chri;1;Christodoulou;Adam;London;;;ITB100838;Groß;J;Juncadella;Daniel;Barcelona;;;IA-0023-ESP;Span;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Groß;Mercedes-AMG Team GetSpeed;PRO                                                         ;Mercedes-AMG GT3;2;11:05:22.382;11:05:22.382;8:13.848;493,848;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.597;J;214;;42.532;J;234;;1:03.044;J;233;;10.283;J;267;;1:46.133;J;204;;35.589;N;243;;2:25.961;J;230;;20.564;J;258;;29.145;J;;;;N;;N;;N;8:13.835;5;N;0;;28206       ;;2;0;0;0;0;1;2;8:13.835
5;Kolb;2;Kolb;Vincent;Frankfurt;;;INTC-15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC18797;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;10:59:14.342;10:59:14.342;8:14.104;494,104;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.640;N;213;;42.773;N;232;;1:03.509;J;233;;10.322;N;270;;1:46.246;J;205;;35.588;N;241;;2:25.675;N;227;;20.513;N;258;;28.838;J;;;;N;;N;;N;8:13.529;6;N;0;;26779       ;;1;0;0;0;0;1;1;8:13.529
5;Kolb;2;Kolb;Vincent;Frankfurt;;;INTC-15471;Deut;J;Stippler;Frank;Bad Münstereifel;;;ITC18797;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;11:07:28.208;11:07:28.208;8:13.866;493,866;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.381;J;212;;42.674;J;233;;1:03.570;N;233;;10.310;J;270;;1:46.433;N;204;;35.514;J;243;;2:25.604;J;230;;20.453;J;260;;28.927;N;;;;N;;N;;N;8:13.529;6;N;0;;26779       ;;2;0;0;0;0;1;2;8:13.529
7;Jeff;1;Jefferies;Axcil;Montabaur;;;1372/23;Deut;;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-C-D4701-I;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;1;10:59:44.086;10:59:44.086;8:21.323;501,323;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;41.447;N;214;;42.921;N;234;;1:04.375;N;228;;10.419;N;273;;1:47.817;N;205;;35.679;N;244;;2:28.969;N;226;;20.505;N;259;;29.191;N;;;;N;;N;;N;8:18.334;16;N;0;;BA009       ;;1;0;0;0;0;1;1;8:18.334
7;Jeff;1;Jefferies;Axcil;Montabaur;;;1372/23;Deut;;Buurman;Yelmer;Ubbergen;;;ITC-A20308;Nied;;Soufi;Danny;Austin;;;ITC-C-D4701-I;USA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Konrad Motorsport GmbH;PRO                                                         ;Lamborghini Huracan GT3;2;11:08:02.420;11:08:02.420;8:18.334;498,334;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.722;J;215;;42.668;J;234;;1:04.002;J;230;;10.361;J;272;;1:47.311;J;203;;35.603;J;245;;2:28.047;J;227;;20.459;J;260;;29.161;J;;;;N;;N;;N;8:18.334;16;N;0;;BA009       ;;2;0;0;0;0;1;2;8:18.334
11;Heye;4;Heyer;Kenneth;Viersen;;;ITB14315;Deut;;Caresani;Collin;Aerdenhout;;;IA 39802;Nied;;Trefz;Luca-Sandro;Wüstenrot;;;ITC13276;Deut;;Marchewicz;Marcel;Schwetzingen;;;ITC10776;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Schnitzelalm Racing;PRO-AM                                                      ;Mercedes-AMG GT3;1;10:57:18.581;10:57:18.581;8:15.707;495,707;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.903;N;214;;42.905;J;233;;1:03.611;N;233;;10.318;N;267;;1:46.543;N;206;;35.433;N;244;;2:26.579;N;229;;20.466;N;259;;28.949;N;;;;N;;N;;N;8:14.494;9;N;0;;12287       ;;1;0;0;0;0;1;1;8:14.494
11;Heye;4;Heyer;Kenneth;Viersen;;;ITB14315;Deut;;Caresani;Collin;Aerdenhout;;;IA 39802;Nied;;Trefz;Luca-Sandro;Wüstenrot;;;ITC13276;Deut;;Marchewicz;Marcel;Schwetzingen;;;ITC10776;Deut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Schnitzelalm Racing;PRO-AM                                                      ;Mercedes-AMG GT3;2;11:05:33.514;11:05:33.514;8:14.933;494,933;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.551;J;215;;43.344;N;235;;1:03.417;J;233;;10.303;J;268;;1:46.498;J;206;;35.356;J;246;;2:26.079;J;229;;20.438;J;260;;28.947;J;;;;N;;N;;N;8:14.494;9;N;0;;12287       ;;2;0;0;0;0;1;2;8:14.494
16;Schr;1;Schramm;Kim Luis;Ilmenau;;;ITC20104;Deut;;Sims;Alexander;Alcester;;;100396;Groß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;1;10:58:26.640;10:58:26.640;8:16.048;496,048;N;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.839;N;213;;42.937;N;232;;1:03.429;N;234;;10.283;N;270;;1:46.643;N;203;;35.865;N;240;;2:26.373;N;229;;20.520;N;258;;29.159;N;;;;N;;N;;N;8:14.423;7;N;0;;26779       ;;1;0;0;0;0;1;1;8:14.423
16;Schr;1;Schramm;Kim Luis;Ilmenau;;;ITC20104;Deut;;Sims;Alexander;Alcester;;;100396;Groß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deut;Scherer Sport PHX;PRO                                                         ;Audi R8 LMS GT3 Evo II;2;11:06:41.063;11:06:41.063;8:14.423;494,423;J;SP 9                                                        ;0000SP 9                                                        ;;SP 9    ;40.480;J;213;;42.676;J;233;;1:03.181;J;235;;10.256;J;270;;1:46.264;J;203;;35.756;J;242;;2:26.231;J;229;;20.481;J;259;;29.098;J;;;;N;;N;;N;8:14.423;7;N;0;;26779       ;;2;0;0;0;0;1;2;8:14.423
